Model_name,uniprot,pdb_chain,local_AUC,local_P@L,local_P@L2,local_P@L5,short_AUC,short_P@L,short_P@L2,short_P@L5,medium_AUC,medium_P@L,medium_P@L2,medium_P@L5,long_AUC,long_P@L,long_P@L2,long_P@L5
PF03114_CL0145_0.9,Q99963,2z0v_A,0.9064615964889526,0.8425925970077515,0.9259259104728699,0.930232584476471,0.15081483125686646,0.07870370149612427,0.12962962687015533,0.20930232107639313,0.282266229391098,0.13425925374031067,0.2222222238779068,0.41860464215278625,0.5046800374984741,0.28703704476356506,0.4722222089767456,0.7441860437393188
PF03114_CL0145_0.9,Q9Y371,6upn_A,0.8464252352714539,0.7673469185829163,0.8852459192276001,0.8775510191917419,0.10501058399677277,0.06530611962080002,0.09836065769195557,0.1428571492433548,0.2592122256755829,0.11428571492433548,0.21311475336551666,0.4285714328289032,0.390392929315567,0.26938775181770325,0.35245901346206665,0.5714285969734192
PF03114_CL0145_0.9,O00499,2fic_B,0.9334667921066284,0.9154228568077087,0.949999988079071,0.925000011920929,0.10240022838115692,0.04477611929178238,0.07000000029802322,0.17499999701976776,0.2095276564359665,0.07960198819637299,0.15000000596046448,0.3499999940395355,0.5341185331344604,0.3383084535598755,0.5,0.7749999761581421
PF03114_CL0145_0.9,Q6XZF7,1ug1_A,0.5249480605125427,0.42391303181648254,0.47826087474823,0.6666666865348816,0.49563083052635193,0.27173912525177,0.43478259444236755,0.8333333134651184,0.6657682657241821,0.3913043439388275,0.6521739363670349,0.9444444179534912,0.5843559503555298,0.4021739065647125,0.54347825050354,0.7777777910232544
PF03114_CL0145_0.9,Q9UBW5,4avm_A,0.9286283254623413,0.908695638179779,0.95652174949646,0.9347826242446899,0.10985852777957916,0.052173912525177,0.08695652335882187,0.17391304671764374,0.1743529886007309,0.06521739065647125,0.1304347813129425,0.30434781312942505,0.5541183352470398,0.3391304314136505,0.5130434632301331,0.8260869383811951
PF03114_CL0145_0.9,Q99962,1x03_A,0.9504302740097046,0.9009901285171509,0.9603960514068604,0.9750000238418579,0.15895700454711914,0.08415841311216354,0.13861386477947235,0.22499999403953552,0.24051812291145325,0.11386138945817947,0.19801980257034302,0.375,0.5242295265197754,0.3118811845779419,0.5148515105247498,0.800000011920929
PF03114_CL0145_0.9,P49418,4atm_A,0.9218415021896362,0.9049773812294006,0.9363636374473572,0.9090909361839294,0.0901603177189827,0.03619909659028053,0.06363636255264282,0.15909090638160706,0.1944762021303177,0.07692307978868484,0.15454545617103577,0.3181818127632141,0.5405213832855225,0.3529411852359772,0.5181818008422852,0.7954545617103577
PF06456_CL0145_0.9,P53365,1i49_A,0.9790566563606262,0.9502487778663635,0.9800000190734863,1.0,0.15373900532722473,0.06965173780918121,0.10999999940395355,0.2750000059604645,0.2946907877922058,0.11442785710096359,0.23000000417232513,0.5,0.6624844670295715,0.447761207818985,0.6499999761581421,0.925000011920929
PF06456_CL0145_0.9,Q9NRD5,6bjn_A,0.6578623056411743,0.44565218687057495,0.6739130616188049,0.9444444179534912,0.535538375377655,0.29347825050354004,0.5,0.8333333134651184,0.6773509383201599,0.43478259444236755,0.695652186870575,0.9444444179534912,0.7629388570785522,0.5869565010070801,0.8260869383811951,0.8333333134651184
PF06730_CL0145_0.9,A1XBS5,8ceg_B,0.9877989888191223,0.9672897458076477,1.0,1.0,0.12014393508434296,0.05140186846256256,0.08411215245723724,0.190476194024086,0.17371980845928192,0.07943925261497498,0.13084112107753754,0.261904776096344,0.45291391015052795,0.3598130941390991,0.44859811663627625,0.5714285969734192
PF08397_CL0145_0.9,Q9UHR4,2kxc_A,0.5562339425086975,0.3283582031726837,0.5151515007019043,0.7692307829856873,0.5839773416519165,0.3731343150138855,0.6060606241226196,0.692307710647583,0.8145507574081421,0.5671641826629639,0.8484848737716675,1.0,0.6831790804862976,0.46268656849861145,0.6666666865348816,0.9230769276618958
PF08397_CL0145_0.9,Q9UQB8,1y2o_A,0.9537351727485657,0.9166666865348816,0.9666666388511658,0.9791666865348816,0.13298611342906952,0.06666667014360428,0.10000000149011612,0.2083333283662796,0.24001650512218475,0.09166666865348816,0.18333333730697632,0.3958333432674408,0.44856977462768555,0.2708333432674408,0.4583333432674408,0.6458333134651184
PF09325_CL0145_0.9,Q86XE0,6e8r_A,0.8164191246032715,0.7112675905227661,0.8309859037399292,0.8571428656578064,0.3667113184928894,0.17605634033679962,0.3239436745643616,0.5,0.6097732782363892,0.38732394576072693,0.591549277305603,0.8214285969734192,0.5060754418373108,0.35211268067359924,0.47887325286865234,0.6785714030265808
PF09325_CL0145_0.9,Q9Y5X3,8afz_B,0.9025696516036987,0.8617021441459656,0.9042553305625916,0.9066666960716248,0.2604156732559204,0.11968085169792175,0.21808511018753052,0.4266666769981384,0.4418680667877197,0.2154255360364914,0.4095744788646698,0.7066666483879089,0.5935813188552856,0.38297873735427856,0.6010638475418091,0.800000011920929
PF09325_CL0145_0.9,Q13596,8afz_A,0.9151815176010132,0.8818897604942322,0.9315789341926575,0.9210526347160339,0.22086313366889954,0.10498687624931335,0.18421052396297455,0.3552631437778473,0.43152159452438354,0.2178477644920349,0.37368419766426086,0.6842105388641357,0.6188799738883972,0.39895012974739075,0.6263157725334167,0.8684210777282715
PF10456_CL0145_0.9,Q9Y5X1,2raj_A,0.8585261106491089,0.7905759215354919,0.8743455410003662,0.8947368264198303,0.3067310154438019,0.13874346017837524,0.26178011298179626,0.5131579041481018,0.3499641418457031,0.17539267241954803,0.29842931032180786,0.5789473652839661,0.42353588342666626,0.2748691141605377,0.3664921522140503,0.6315789222717285
PF10456_CL0145_0.9,Q8WV41,4akv_A,0.8844079971313477,0.8318840861320496,0.8895348906517029,0.9130434989929199,0.35573485493659973,0.16521738469600677,0.3139534890651703,0.5942028760910034,0.3413037359714508,0.16231884062290192,0.2848837077617645,0.5797101259231567,0.4427804946899414,0.28985506296157837,0.4011628031730652,0.6521739363670349
