Model_name,uniprot,pdb_chain,local_AUC,local_P@L,local_P@L2,local_P@L5,short_AUC,short_P@L,short_P@L2,short_P@L5,medium_AUC,medium_P@L,medium_P@L2,medium_P@L5,long_AUC,long_P@L,long_P@L2,long_P@L5
PF01381_0.5,O60869,9b0q_CH,0.6215731501579285,0.5199999809265137,0.6451612710952759,0.7200000286102295,0.3779025971889496,0.20000000298023224,0.30645161867141724,0.6800000071525574,0.23307009041309357,0.08799999952316284,0.17741934955120087,0.4000000059604645,0.51286780834198,0.29600000381469727,0.4677419364452362,0.800000011920929
PF00106_0.5,P09417,1hdr_A,0.7136753797531128,0.5720338821411133,0.7457627058029175,0.8297872543334961,0.48114556074142456,0.26271185278892517,0.43220338225364685,0.7659574747085571,0.6703106760978699,0.45338982343673706,0.6864407062530518,0.8297872543334961,0.791317880153656,0.6610169410705566,0.7966101765632629,0.8936170339584351
PF00106_0.5,P15428,8fd8_A,0.7755072712898254,0.6188340783119202,0.7747747898101807,0.8863636255264282,0.47105875611305237,0.2556053698062897,0.4324324429035187,0.7272727489471436,0.5154129266738892,0.3004484176635742,0.5045045018196106,0.7272727489471436,0.8374530076980591,0.681614339351654,0.8558558821678162,0.9545454382896423
PF00106_0.5,Q96LJ7,2qq5_A,0.7992992401123047,0.6722689270973206,0.848739504814148,0.8723404407501221,0.39297908544540405,0.20588235557079315,0.3445378243923187,0.6382978558540344,0.47954368591308594,0.3067227005958557,0.47058823704719543,0.6808510422706604,0.8122027516365051,0.7184873819351196,0.7983193397521973,0.8936170339584351
PF00106_0.5,P16152,4z3d_A,0.7398888468742371,0.6268116235733032,0.7246376872062683,0.8363636136054993,0.4510328769683838,0.23188406229019165,0.3840579688549042,0.7090908885002136,0.46429577469825745,0.260869562625885,0.39855071902275085,0.7272727489471436,0.7653588056564331,0.6340579986572266,0.7681159377098083,0.8909090757369995
PF00106_0.5,P35270,6i6p_A,0.739855945110321,0.6074073910713196,0.7407407164573669,0.8518518805503845,0.3277483582496643,0.1518518477678299,0.27407407760620117,0.5740740895271301,0.40076571702957153,0.2074074000120163,0.34074074029922485,0.7037037014961243,0.8368077278137207,0.7074074149131775,0.8740741014480591,0.9259259104728699
PF00106_0.5,Q99714,1u7t_A,0.7123783230781555,0.5568627715110779,0.7559055089950562,0.8235294222831726,0.4085759222507477,0.23137255012989044,0.3700787425041199,0.6470588445663452,0.5553408861160278,0.3529411852359772,0.5354330539703369,0.7647058963775635,0.8452061414718628,0.7058823704719543,0.8661417365074158,0.9607843160629272
PF00106_0.5,Q7Z5P4,8g9v_E,0.8299301862716675,0.7542662024497986,0.8219178318977356,0.8448275923728943,0.28341561555862427,0.12286689132452011,0.22602739930152893,0.4655172526836395,0.5422642827033997,0.3139931857585907,0.5410959124565125,0.8103448152542114,0.7434237003326416,0.5836177468299866,0.767123281955719,0.8793103694915771
PF00106_0.5,P51659,1zbq_A,0.7340875864028931,0.5993377566337585,0.7152317762374878,0.8666666746139526,0.4115137457847595,0.23509933054447174,0.38410595059394836,0.6000000238418579,0.46397024393081665,0.27483442425727844,0.45695364475250244,0.6666666865348816,0.789712131023407,0.6821191906929016,0.807947039604187,0.8500000238418579
PF00106_0.5,Q6UWP2,1xg5_C,0.7504216432571411,0.6498054265975952,0.7578125,0.843137264251709,0.38802477717399597,0.2062256783246994,0.3515625,0.6078431606292725,0.5412701368331909,0.3346303403377533,0.5078125,0.7843137383460999,0.827469527721405,0.6770427823066711,0.84375,0.9411764740943909
