local_AUC,local_P@L,local_P@L2,local_P@L5,short_AUC,short_P@L,short_P@L2,short_P@L5,medium_AUC,medium_P@L,medium_P@L2,medium_P@L5,long_AUC,long_P@L,long_P@L2,long_P@L5,Model,Type,uniprot,PDB_Chain,Head,APC
0.7056774497032166,0.574404776096344,0.6785714030265808,0.8059701323509216,0.3695617914199829,0.2291666716337204,0.3214285671710968,0.5074626803398132,0.459966242313385,0.306547611951828,0.4345238208770752,0.5970149040222168,0.6469148397445679,0.5089285969734192,0.6428571343421936,0.7910447716712952,PF00044_CL0063_0.5,pretrained,O14556,3h9e_O,L33H19,True
0.7156708240509033,0.574404776096344,0.7023809552192688,0.8358209133148193,0.3958398699760437,0.2380952388048172,0.3392857015132904,0.5820895433425903,0.4255306124687195,0.2886904776096344,0.4166666567325592,0.5223880410194397,0.6572610139846802,0.5327380895614624,0.6428571343421936,0.7761194109916687,PF00044_CL0063_0.5,pretrained,P04406,6m61_O,L33H19,True
0.5705094337463379,0.4570135772228241,0.5746606588363647,0.6590909361839294,0.3145138621330261,0.20361991226673126,0.28959277272224426,0.4545454680919647,0.4362636208534241,0.2782805562019348,0.4298642575740814,0.5909090638160706,0.6596270799636841,0.5248869061470032,0.6470588445663452,0.8181818127632141,PF00151_CL0028_0.5,pretrained,P06858,6ob0_A,L33H19,True
0.5741255283355713,0.4788418710231781,0.5848214030265808,0.6067415475845337,0.3696133494377136,0.25167039036750793,0.3526785671710968,0.5056179761886597,0.48154157400131226,0.3051224946975708,0.4598214328289032,0.6741573214530945,0.691571056842804,0.5456570386886597,0.7008928656578064,0.7977527976036072,PF00151_CL0028_0.5,pretrained,P54315,2ppl_A,L33H19,True
0.6298125982284546,0.49438202381134033,0.6261261105537415,0.7640449404716492,0.4024311900138855,0.2584269642829895,0.38738739490509033,0.5955055952072144,0.46267247200012207,0.2966292202472687,0.44594594836235046,0.617977499961853,0.693684458732605,0.5662921071052551,0.7117117047309875,0.7977527976036072,PF00151_CL0028_0.5,pretrained,P54317,2pvs_B,L33H19,True
0.7212527990341187,0.6523604989051819,0.729613721370697,0.7634408473968506,0.32249289751052856,0.18884120881557465,0.30042919516563416,0.46236559748649597,0.3531838059425354,0.21030043065547943,0.3390558063983917,0.49462366104125977,0.6718405485153198,0.5257510542869568,0.6394850015640259,0.8494623899459839,PF00232_CL0036_0.5,pretrained,Q9H227,2e9l_A,L33H19,True
0.716594398021698,0.6335697174072266,0.7186761498451233,0.7869822382926941,0.31221461296081543,0.18676123023033142,0.283687949180603,0.4615384638309479,0.32309266924858093,0.20212766528129578,0.28605201840400696,0.4674556255340576,0.6594904065132141,0.5224586129188538,0.6690307259559631,0.7988165616989136,PF00232_CL0036_0.5,pretrained,Q86Z14,6nfj_D,L33H19,True
0.7168475389480591,0.6279069781303406,0.6930232644081116,0.8081395626068115,0.2602362632751465,0.15581394731998444,0.24186046421527863,0.3604651093482971,0.30279719829559326,0.184883713722229,0.2813953459262848,0.4360465109348297,0.6241496205329895,0.4767441749572754,0.6116279363632202,0.7906976938247681,PF00232_CL0036_0.5,pretrained,Q9UEF7,8uf8_A,L33H19,True
0.6894471049308777,0.5666666626930237,0.653333306312561,0.8999999761581421,0.26869314908981323,0.15333333611488342,0.2666666805744171,0.3333333432674408,0.28206881880760193,0.13333334028720856,0.23999999463558197,0.5,0.4309762120246887,0.23999999463558197,0.3733333349227905,0.6666666865348816,PF00312_CL0600_0.9,pretrained,P62277,4ug0_SN,L33H19,True
0.7512696981430054,0.7068965435028076,0.7356321811676025,0.7941176295280457,0.310823917388916,0.14367815852165222,0.26436781883239746,0.5,0.2786382734775543,0.13218390941619873,0.2183908075094223,0.4117647111415863,0.35071057081222534,0.1666666716337204,0.28735631704330444,0.6176470518112183,PF00312_CL0600_0.9,pretrained,P82914,6rw4_L,L33H19,True
0.6663791537284851,0.5666666626930237,0.6848484873771667,0.6969696879386902,0.3449374735355377,0.19090908765792847,0.30909091234207153,0.5,0.24893338978290558,0.12727272510528564,0.2181818187236786,0.39393940567970276,0.4777296483516693,0.31515151262283325,0.4424242377281189,0.6212121248245239,PF00380_CL0329_0.5,pretrained,P82933,6rw4_G,L33H19,True
0.5904003977775574,0.5205479264259338,0.5753424763679504,0.6551724076271057,0.29775336384773254,0.19863013923168182,0.31506848335266113,0.3448275923728943,0.30687910318374634,0.19178082048892975,0.2602739632129669,0.4482758641242981,0.39151155948638916,0.30136987566947937,0.3835616409778595,0.4482758641242981,PF00380_CL0329_0.5,pretrained,P62249,4ug0_SQ,L33H19,True
0.6116126179695129,0.6716417670249939,0.6363636255264282,0.5384615659713745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PF00467_CL0010_0.5,pretrained,Q92917,7qtt_G,L33H19,True
0.603829026222229,0.5597015023231506,0.611940324306488,0.692307710647583,0.2636517882347107,0.15671642124652863,0.20895522832870483,0.4615384638309479,0.4091945290565491,0.26119402050971985,0.4029850661754608,0.6153846383094788,0.29423677921295166,0.19402985274791718,0.26865673065185547,0.42307692766189575,PF00467_CL0010_0.5,pretrained,P61254,4ug0_LY,L33H19,True
0.6336773633956909,0.5185185074806213,0.6268656849861145,0.7777777910232544,0.2916608452796936,0.17037037014961243,0.26865673065185547,0.4444444477558136,0.44243860244750977,0.29629629850387573,0.4029850661754608,0.6296296119689941,0.4591078758239746,0.27407407760620117,0.43283581733703613,0.6296296119689941,PF00467_CL0010_0.5,pretrained,P61353,4ug0_LZ,L33H19,True
